Step,Temp,PotEng,TotEng,v_tipxx,v_tipxy,v_tipxz,v_tipfx,v_tipfy,v_tipfz
0,298,-18698.618,-18554.439,26.080669,32.091532,36.022808,-3.02E-15,5.87E-15,-5.34E-15
1000,298.55154,-18552.613,-18408.168,26.080669,32.091532,36.012808,2.67E-15,1.44E-14,-3.95E-14
2000,288.98587,-18566.749,-18426.932,26.080669,32.091532,36.002808,2.67E-15,-5.51E-15,-9.60E-14
3000,303.75144,-18568.074,-18421.113,26.080669,32.091532,35.992808,-3.02E-15,5.87E-15,-5.34E-15
4000,296.49093,-18555.35,-18411.902,26.080669,32.091532,35.982808,-3.02E-15,5.87E-15,-5.34E-15
5000,299.11891,-18567.402,-18422.682,26.080669,32.091532,35.972808,2.67E-15,1.44E-14,-3.95E-14
6000,303.00072,-18559.993,-18413.395,26.080669,32.091532,35.962808,2.67E-15,-5.51E-15,-9.60E-14
7000,305.51961,-18566.11,-18418.293,26.080669,32.091532,35.952808,-3.02E-15,5.87E-15,-5.34E-15
8000,304.77916,-18566.086,-18418.627,26.080669,32.091532,35.942808,-3.02E-15,5.87E-15,-5.34E-15
9000,297.62611,-18555.312,-18411.314,26.080669,32.091532,35.932808,2.67E-15,-5.51E-15,-9.60E-14
10000,288.95714,-18567.867,-18428.063,26.080669,32.091532,35.922808,-3.02E-15,5.87E-15,-5.34E-15
11000,299.02805,-18564.446,-18419.77,26.080669,32.091532,35.912808,-3.02E-15,5.87E-15,-5.34E-15
12000,302.83953,-18560.624,-18414.104,26.080669,32.091532,35.902808,2.67E-15,1.44E-14,-3.95E-14
13000,305.78196,-18566.117,-18418.173,26.080669,32.091532,35.892808,2.67E-15,-5.51E-15,-9.60E-14
14000,300.52803,-18559.833,-18414.432,26.080669,32.091532,35.882808,-3.02E-15,5.87E-15,-5.34E-15
15000,299.12042,-18567.853,-18423.133,26.080669,32.091532,35.872808,-3.02E-15,5.87E-15,-5.34E-15
16000,296.97115,-18565.898,-18422.217,26.080669,32.091532,35.862808,2.67E-15,1.44E-14,-3.95E-14
17000,301.66829,-18561.958,-18416.004,26.080669,32.091532,35.852808,-3.02E-15,5.87E-15,-5.34E-15
18000,296.78429,-18565.407,-18421.817,26.080669,32.091532,35.842808,-3.02E-15,5.87E-15,-5.34E-15
19000,302.93013,-18558.231,-18411.667,26.080669,32.091532,35.832808,2.67E-15,1.44E-14,-3.95E-14
20000,300.23077,-18564.139,-18418.881,26.080669,32.091532,35.822808,2.67E-15,-5.51E-15,-9.60E-14
21000,294.84506,-18565.04,-18422.388,26.080669,32.091532,35.812808,-3.02E-15,5.87E-15,-5.34E-15
22000,303.94753,-18561.32,-18414.263,26.080669,32.091532,35.802808,-3.02E-15,5.87E-15,-5.34E-15
23000,300.43698,-18564.05,-18418.693,26.080669,32.091532,35.792808,2.67E-15,1.44E-14,-3.95E-14
24000,298.27502,-18556.214,-18411.902,26.080669,32.091532,35.782808,2.67E-15,-5.51E-15,-9.60E-14
